node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
85 86 0 16.5589 11.9088 -38.1309 16.5097 11.9023 -38.6397 0.1451 0.5112 0.0000 0.0000 205.0000 17.7507 1.0000 
86 87 0 16.5097 11.9023 -38.6397 16.4499 11.9337 -39.1393 0.1451 0.5041 0.0000 0.0000 205.0000 17.9766 1.0000 
87 88 0 16.4499 11.9337 -39.1393 16.4436 11.9369 -39.1910 0.1451 0.0522 0.0000 0.0000 205.0000 18.0000 1.0000 
1 89 6 0.3811 0.2659 -3.0827 -0.3037 0.9805 -3.2114 0.0582 0.9981 238.0000 23.8000 0.0000 7.1980 2.0000 
89 90 6 -0.3037 0.9805 -3.2114 -0.9893 1.7009 -3.3024 0.0582 0.9986 238.0000 23.8000 0.0000 8.7658 2.0000 
90 91 6 -0.9893 1.7009 -3.3024 -1.6913 2.4059 -3.3963 0.0582 0.9993 238.0000 23.8000 0.0000 10.5406 2.0000 
91 92 6 -1.6913 2.4059 -3.3963 -2.3839 3.1204 -3.4944 0.0582 0.9999 238.0000 23.8000 0.0000 12.5889 2.0000 
92 93 6 -2.3839 3.1204 -3.4944 -3.0825 3.8277 -3.5949 0.0582 0.9992 238.0000 23.8000 0.0000 15.0000 2.0000 
93 94 6 -3.0825 3.8277 -3.5949 -3.7906 4.5249 -3.7062 0.0582 0.9999 238.0000 23.8000 0.0000 17.9415 2.0000 
94 95 6 -3.7906 4.5249 -3.7062 -3.8032 4.5373 -3.7082 0.0582 0.0178 238.0000 23.8000 0.0000 18.0000 2.0000 
2 96 7 0.8233 0.5980 -3.1873 0.2414 1.1849 -3.7403 0.0509 0.9944 238.0000 23.8000 0.0000 7.4009 2.0000 
96 97 7 0.2414 1.1849 -3.7403 -0.3673 1.7914 -4.2499 0.0509 0.9991 238.0000 23.8000 0.0000 8.9638 2.0000 
97 98 7 -0.3673 1.7914 -4.2499 -0.9527 2.4015 -4.7831 0.0509 0.9995 238.0000 23.8000 0.0000 10.7281 2.0000 
98 99 7 -0.9527 2.4015 -4.7831 -1.5230 3.0192 -5.3236 0.0509 0.9995 238.0000 23.8000 0.0000 12.7537 2.0000 
99 100 7 -1.5230 3.0192 -5.3236 -2.1317 3.6099 -5.8528 0.0509 0.9997 238.0000 23.8000 0.0000 15.1340 2.0000 
100 101 7 -2.1317 3.6099 -5.8528 -2.7483 4.1918 -6.3746 0.0509 0.9955 238.0000 23.8000 0.0000 18.0000 2.0000 
